id,pattern,description,category,subcategory,subsubcategory,json
11,Base Production Activity,"The first activity in an object's lifecycle is its creation, or Production. The relationship to the object that was produced by the activity (produced) is added to the general activity model, along with the time, location and actors. This follows the base pattern for activities.",Object Production and Destruction,,,https://linked.art/example/object/60
12,Techniques,"If there is a particular technique known to have been used in the creation of the object, this can be expressed using the technique property, referring to a controlled vocabulary term for the technique. This should be used to capture specific techniques or methods, and the base classified_as property used for more general classifications of the activity.",Object Production and Destruction,Techniques and Classifications,,https://linked.art/example/object/61
13,Classifications,"Classifications for production events are less common than techniques, but still possible. These classifications must not be techniques, but instead some assertion about the activity generally. This could include whether the activity was a minor contribution to the overall work, or whether the activity was performed legally or not.",Object Production and Destruction,Techniques and Classifications,,https://linked.art/example/object/62
14,Multiple Artists,"If there are multiple artists collaborating on the same piece of artwork, then we follow the partitioning pattern of creating separate parts of the main Production activity. Each of these components captures the details of one particular artist's role in the production of the object. This allows us to assert different properties for each artist's contribution, including different times, techniques, locations or influences.

For consistency, it is recommended that this pattern also be used for production activities when only one artist is known, such that it is easier to add further contributors to the work without restructuring the content.",Object Production and Destruction,,,https://linked.art/example/object/63
15,Inspiration or Copies,"Some artworks are copies of, or clearly directly inspired by, others. This relationship with another work can be captured with the influenced_by property of the Production activity. The copy could be from memory or with the copied object physically present, and it could be a faithful reproduction or merely recognizably similar.",Object Production and Destruction,Objects Related to the Production,,https://linked.art/example/object/64
16,Reproduction from an Identifiable Source,"Many objects are created from a source, such as a photograph being printed from a negative, a print created from a woodcut, or a sculpture made from a cast. The use of the particular source can be captured as part of the description of the Production of the object using the used_specific_object property.

All of the art objects created from the same source show the same image, be it flat or three dimensional. The source also shows the same image, albiet likely somehow reversed. The image is modeled as a VisualItem that all of the physical objects, including the source object, show. This allows us to group the objects together based on their provenance.",Object Production and Destruction,Objects Related to the Production,,https://linked.art/example/object/65
17,Attribution of a Group,"Even if the artist's or artists' identity is not known exactly, the person or persons may be known to have been part of a group, such as the workshop of a more famous ""master"". In this case, the Group that represents the workshop can be the actor that carries out the Production: this does not mean that every member of the group participated, just that at least one of them did, in the same way that saying that a document was written by an organization does not imply all employees contributed to the text.

We can use the influenced_by property on the Formation (the creation) of the group to connect it to a known person -- the ""master"" of the workshop in the example use case. The ""master"" might not have participated in the group, or even been alive when it was formed, and hence does not necessarily form the group or is even a member of it.",Object Production and Destruction,Attributions,,https://linked.art/example/object/66
18,Uncertain or Changing Attributions,"A piece of information associated with historical artworks that can change as research and understanding improves is the identity of the artist that produced it. The actor that is referenced in carried_out_by is the current opinion, but previous attributions can still be recorded.

In order to clearly separate the previous thinking from current, the model explicitly includes the act of assigning the previous artist as an AttributeAssignment. The assignment activity assigns the previous artist's role as part of the main Production, but has an ""obsolete"" classification to indicate that it is no longer believed to be correct. A ""possibly"" classification would indicate that the attribution of the artist is uncertain.

The Attribute Assignment pattern is described in more detail in the assertions section of the documentation.",Object Production and Destruction,Attributions,,https://linked.art/example/object/67
19,Production by Removal,"It is also possible for an object to come into documentary existence when it is removed from a larger object. The production of the part is simply part of the production of the whole, but until it is removed, it does not need a separate identity or existence.

This occurs reasonably frequently, for both valid and unscrupulous motivations. In the work of conservation, it is often necessary to remove a tiny flake of an object to experiment with, before applying the method to the whole. If there are unexpected side effects of the experiment, then the whole object is saved at the expense of an unnoticeable change. It is important to know that the sample was produced in the past and removed in the present, rather than it was created de novo in the present.

A second scenario when this occurs is unfortunately common. If an object, such as a medieval manuscript, can be sold for more by splitting it up into parts and selling each part individually, then unscrupulous sellers will do just that. Rather than sell an innocuous book of hours to a single buyer, instead each illumination can be sold individually and then the remaining text-bearing pages either dumped or sold over time at a greatly reduced price. This dispersal of manuscripts still occurs today.

In order to model this, instead of a Production, the object is removed_by a PartRemoval activity. That activity is just like all other activities, other than it has a diminished property that refers to the whole object from which the part was removed. The removed object can have a Production event, but it should be a part of the Production of the whole. As it is unlikely that there is any new information about the removed part, this is not normally useful.",Object Production and Destruction,,,"https://linked.art/example/object/68
https://linked.art/example/object/69 "
20,Destruction ,"The end of the provenance chain of an object is when it is known to have been destroyed. Loss of the object leaves the chain open ended as it might be recovered in the future, however if the object is destroyed then there is no coming back. Objects should, thus, only be recorded as destroyed if they are known to be so.

The model uses a Destruction class that represents the going out of existence of the object. A destruction only applies to a single object, and thus every object has their own destruction, even if that destruction was caused by the same wider event or activity. This means that the Destruction is not carried_out_by an actor, but instead (as in the following section) another activity causes the destruction.",Object Production and Destruction,,,https://linked.art/example/object/70
21,Cause of Destruction,"As discussed above, the same event or activity could be the cause of the destruction of many individual objects. A museum burning down or otherwise being destroyed would destroy many objects, including the building itself. On a smaller scale, an individual destruction could be caused by a particular activity of an individual.

In order to distinguish between the destruction itself and its cause, we use the caused_by relationship between the Destruction and the Activity or Event that caused it. The event should be described and classified as any other event in the model.",Object Production and Destruction,Destruction ,,https://linked.art/example/object/71
22,Other Specific Activities,"If there are other activities that are specific to the particular object and do not have any identity of their own beyond the object, then that activity can be described with a relationship from the object to the activity, rather than from the activity to the object. In these cases the description of the activity will end up embedded completely within the object's record, in the same way that the publication of a work is embedded within the work's record. In the more general case, when the activity has its own identity (such as an auction or conservation work on the object) then the event will instead refer to the object and the object must not refer to the event. The relationship for this situation is used_for between the object and the activity.",Object Production and Destruction,,,
23,Dimensions,"The physical dimensions of an object, such as height, width, diameter or weight, are included in the dimension property, and consist of three primary pieces of information:

The numeric value in value.
The type of dimension (e.g. height vs width) in classified_as, referencing an external vocabulary of dimension types.
The unit used to align the value with the real world such as inches, pounds or seconds. The unit should also be given from a controlled vocabulary.",Objects: Physical Characteristics,,,https://linked.art/example/object/49
24,Dimension Statement,"If the dimension text is not recorded in a way that is condusive to generating the full set, then it can be given as a LinguisticObject, classifed as dimensions by reference to aat:300435430, and the text provided in content. This is an example of the Statements base pattern.",Objects: Physical Characteristics,Dimensions,,https://linked.art/example/object/50
25,Dimension Display Labels,"Another method is to have the dimensions in the data include a human readable label for the value that the dimension is representing. This allows clients to present the data in a particular style, rather than having to generate the text from the dimension value, unit and type.

This same approach can be used on many data structures and is merely being called out here to compare with the machine oriented view of just the data structure, and the human oriented view of just the full description as a statement.",Objects: Physical Characteristics,Dimensions,,https://linked.art/example/object/51
26,Measurements of Dimensions,"In some contexts, it is also important to have more information about how the dimensions were measured. This could be useful, for example, to distinguish the time and method by which the measurement was taken, or to know who used which instrument in a conservation research setting to promote accuracy and reusability of results.

In order to build upon the dimension model described above, the model adds an AttributeAssignment activity to the Dimension which is the measuring activity, following the Assertion pattern. The Dimension is assigned_by the AttributeAssignment, to the object which has the dimension. In this particular case, as dimensions are specific to the object, and the dimension property is explicit in the model already, there is no need to link from the AttributeAssignment back to the object, or to give the property that is being assigned. It is permitted, but no new information is being added and hence it is not recommended.",Objects: Physical Characteristics,Dimensions,,https://linked.art/example/object/52
27,Colors,"The main colors of an object can be determined and record in two very different ways - by capturing a very specific value for the wavelength of the light or composition of the color (in a Red/Green/Blue colorspace, for example), or categorizing the object into more broader, subjective color types (""pale green"", ""ochre""). The first approach might be done with instruments measuring the reflected light off the original, or via digital photography and computing the color from the resulting digital image. The second approach is likely carried out by a curator in describing the object in a collection management system, hopefully using a controlled set of terms. As it is desirable to have only a single place to look for information, the model for color tries to capture both of these possibilities at once in as simple a way as possible, allowing either or both to happen for any given color.

Measurements record a Dimension, and thus we create an instance of the class to record the color, even if the measurement is a categorization. The dimension has a value and unit, just like the more obvious physical dimensions described above. For an RGB colorspace, the value must be converted into an integer from the more traditional three-part hexadecimal value, as values are always decimalized. This allows the true value to be recorded. The dimension can also be classified_as a particular color family -- the object has a color which is a green color, for example. Either or both of these patterns can be used, and multiple dimensions using this pattern can be recorded without having to match up which categories map to which values",Objects: Physical Characteristics,Dimensions,,https://linked.art/example/object/53
28,Shapes,"While some combinations of dimensions can give a sense of the shape of the object, it is also often useful to be more explicit. For example, a shield-shaped painting (perhaps due to being painted on an actual shield) would likely still only have height and width given. Without the additional information of the shape, it might be concluded that the painting is rectangular. Similarly, a circular object could be mistaken as a square, as the height and width would be the same in either case.

Shapes are given as classifications on the object via the classified_as property. The classification is then further classified as being a shape, with the term aat:300056273, in the same way that being a painting is further classified as being the type of work.",Objects: Physical Characteristics,,,https://linked.art/example/object/54
29,Materials,"Objects are created using different materials, such as canvas or marble. These are recorded using the made_of property on the object directly. The materials are the type of material, rather than the specific bits of matter and therefore refer to entries in external vocabularies. When possible, it is good to use this model, and combined with the parts model described in the next section, allows for a comprehensive set of information about which parts are which sizes, shapes, colors, and made of which materials.

Note that the type-of-type pattern is not needed for materials, like it is for shape, as they have their own Material class that is used to distinguish them.",Objects: Physical Characteristics,,,https://linked.art/example/object/55
30,Materials Statement,"Similarly to dimensions statements, it is possible to describe the materials using a LinguisticObject classified as being about the materials of the object via aat:300435429.",Objects: Physical Characteristics,Materials,,https://linked.art/example/object/56
31,Environmental conditions,"Depending on their material, objects need to be kept in appropriate environmental conditions so that they do not deteriorate. Such conditions are often recommendations by conservators and collection care experts and can be documented using a LinguisticObject classified as being about the environmental conditions of the object via aat:300229535.",Objects: Physical Characteristics,,,https://linked.art/example/object/57
32,Parts,"As described in the baseline patterns, one of the main modeling paradigms used is to separate parts of resources from the whole. Physical objects are particularly amenable to this, and allows reuse of the rest of the model as needed. The parts do not need to be physically separable without destroying the object, but do need to be objectively definable in terms of the matter that makes it up. For example, the arm of a sculpture could have dimensions and materials, but while an arch-shaped space in a rock formation might have dimensions, it could not be removed, nor is it made of anything, and thus it is not a part.

Physical parts are given using the part property, and use the same HumanMadeObject class, as per the full object. The classified_as property can be used to be more specific as to the sort of part, in this case the support for the painting, which is in turn made of canvas. The type of part is then further classified as aat:300241583 to ensure that it can be distinguished as a part-type, rather than an object-type.

The model does not have a separate parts statement to describe this in a human-readable way, as this is traditionally done using the materials statement as demonstrated above.",Objects: Physical Characteristics,,,https://linked.art/example/object/58
33,Sides of an Object,"While some artworks can be treated as two dimensional, as the only part of interest is the front of a flat surface such as a painting, drawing or photograph, there are many other objects where it is desirable to record information separately about the front and back, or any number of other sides.

This pattern allows separate identities for the recto and verso of a page, the obverse and reverse of a coin, in the same manner as the frame or canvas of a painting. The use of the classification aat:300133025 (artwork) is important to distinguish between objects that should be treated as the complete artwork, and objects that are either parts of it, or those that it is part of.",Objects: Physical Characteristics,Parts,,https://linked.art/example/object/59
34,Description,"The main description of the object is provided in the same manner as other such texts; as the content of a LinguisticObject resource. The classification for descriptions is (aat:300411780). The description can include any content that describes the object, and is useful primarily for display to a human user.",Objects: Aboutness,,,https://linked.art/example/object/36
35,Depiction,"Many sorts of artwork depict things that can be pointed out in the artwork. These could be identifiable entities, such as a known Person or Object with a name or identifier, or unidentifiable (perhaps fictional) instances of a class of entity, such as a depiction of a battle but not any particular battle. For example a portrait depicts the person sitting for it, or a sketch of a generic landscape depicts a place even if it's not a particular, known location. The depiction pattern describes what is in the artwork's image.

This is modeled using the represents property on the VisualItem, which refers to the entity that is being depicted.",Objects: Aboutness,Physical Object and Visual Work,,https://linked.art/example/object/37
36,Subject,"Subjects are the concepts or things that the artwork evokes, as opposed to an object (real or imaginary) that is depicted by the artwork. For example, a portrait of a military commander in full regalia on a battlefield depicts the person and the place, but could be interpreted to have a subject of ""war"". A painting with an allusion to a piece of literature does not depict the literature, but instead evokes it as a subject. This could be thought of as what the artwork is about rather than what can be seen, or as why the content in the artwork is present.

The model for subject is that the VisualObject is about the subject, which is a Type instance.",Objects: Aboutness,Physical Object and Visual Work,,https://linked.art/example/object/38 
37,Style Classification,"Styles are a categorization of the aesthetic qualities of the work being described, and can come from important features, techniques, locations, times or artistic movements. Styles might include ""geometric"", ""abstract"", and ""limited palette"". It is considered that all styles are aesthetic rather than cultural, but the aesthetic style may be related to a particular culture.

The distinction that all styles are aesthetic is somewhat controversial, but simplifies the model significantly at very little cost. A clear example is a perfect imitation of a Navajo dream-catcher made by a factory in China cannot be said to be culturally Navajo as an object, but the image of the object can be said to have an aesthetic that is related to the Navajo culture.

The style is associated with the object using the classified_as property, and must be a reference to an appropriate vocabulary. It is associated with the VisualItem that is shown by the object, to reinforce that it is the way the object looks that determines the style, not the physicality of its production. The style property could be thought of as how the content is presented. In order to distinguish styles from other classifications, the style itself has a classified_as of aat:300015646.",Objects: Aboutness,Physical Object and Visual Work,,https://linked.art/example/object/39
38,Other Classifications,"Other classifications can also be assigned to the object's content. If it is possible to say that ""the artistic content of this object is an X"", then X can be included in the set of classifications using the classified_as property on the VisualItem. This could include classifications such as ""Landscape"" or ""Allusion"", compared to classifications that are derived from the physical nature of the object such as a ""Painting"", ""Photograph"" or ""Sculpture"" which are associated with the object.
",Objects: Aboutness,Physical Object and Visual Work,,https://linked.art/example/object/40
39,Objects Carrying Textual Works,The description of textual works are covered in detail in the Document section of the model.,Objects: Aboutness,Textual and Visual Works,,https://linked.art/example/object/41
40,"Single Object, Multiple Works","A single object might carry both significant textual content and separate visual works. For example an exhibition catalog carries its text and, via its illustrations, the visual content of the objects that were exhibited. In this case we would simply list each of the works.",Objects: Aboutness,Textual and Visual Works,,https://linked.art/example/object/42
41,"Single Object, Single Textual and Visual Work","However, in the poster case, there is only a single work that has both important visual and textual attributes. In this case we do not want to give the impression that they are separate and instead use the partitioning pattern.
",Objects: Aboutness,Textual and Visual Works,,https://linked.art/example/object/43
42,Related Objects,"A list of related objects is often known for any given object, however the reason for the relation is not recorded. These objects might be physically similar, they may have been created by the same artist, they might have been exhibited together or they might just be both highlights of the current institution and share no observable features. In this circumstance, the best that can be done is to record that there is some relationship without any specificity as to the details. If there are more details known about the relationship then more specific patterns should be used instead.

The model uses an AttributeAssignment activity to relate the two objects together. This allows additional information to be associated with the activity, such as a label, name or classification if known. The relationship has a direction, slightly paradoxically from the entity which has an attributed_by property to the AttributeAssignment, to the entity which is assigned. The property can be given using assigned_property, with the value being the name of the property.",Objects: Aboutness,,,https://linked.art/example/object/44
43,Ownership,"The current owner of the object should be referenced with transferred_title_to in the most recent Acquisition that transferred_title_of the object. These transfers are described in detail in the Acquistion section.

To make the current owner easier to find from the object's description, the owner should also be referenced with current_owner from the object itself. There are further modeling details available about People and Organizations that might own objects.",Objects: Provenance,,,https://linked.art/example/object/46
44,Custody,"Similarly, the current custodian of the object should be referenced with the transferred_custody_to in the most recent TransferOfCustody, in the same way as the current owner is referenced from the most recent Acquisition. There is an equivalent property to current_owner for custody, which is current_custodian. This is described in more detail in the section on custody.

Note that objects are owned by legal entities, such as people or organizations. If there is a department or person that is not the owner but is responsible for the object, then that actor is the current_custodian.",Objects: Provenance,,,https://linked.art/example/object/47
45,Location,"The current location of the object is given using the current_location property. This can give a reference to a gallery or specific part of a facility, or be used for the general address of the organization where the object is currently held. There are further modeling details available about Places.",Objects: Provenance,,,https://linked.art/example/object/48
46,Credit / Attribution Statement,"It is important to be able to give a credit or attribution statement that should be displayed along with the object. For example, a painting that has been donated might have the requirement to state who the donor was. This is modeled using the statement pattern as a LinguisticObject, that is classified_as aat:300026687 - the term for ""acknowledgements"". The text is given in the content property.",Objects: Rights Information,,,https://linked.art/example/object/72
47,Rights Statement,"For general statements about rights that have not been aligned with any other controlled vocabularies such as rightsstatements.org, the information can be provided in the same way as for a credit or attribution. The difference is that it is classified_as aat:300435434 - the term for license or legal statements.",Objects: Rights Information,,,https://linked.art/example/object/73
48,RightsStatements.org Assertions,"There is a recent effort to standardize rights statements, described at rightsstatements.org. Twelve basic rights statements were identified and given URIs to identify them. If any of these statements apply, it is useful to use these URIs to ensure that client systems can process them the in the same way.

These assertions are modeled as individual Rights, which are then classified_as the rights statement URI. A label, via_label, can also be given to provide clarity for developers looking at the data in the same way as Type objects.",Objects: Rights Information,Rights Assertions,,https://linked.art/example/object/74
49,Digital Objects,"All Digital Objects share some basic characteristics, regardless of their particular nature. The basic patterns of Name, Identifier, Classification, and Statement all apply in the regular way. Beyond the baseline, digital objects can have the following descriptive features:

Access Point - The URLs where the object is available. These may also treated as Digital Objects in their own right, but typically only the URL is given.
Format - The format of a digital object is its media type, often called a MIME type, given as a string
Standard - Many digital objects further conform to standard specifications, which can be referenced using the conforms_to property. This differs from format, as there may not be a media type for the specification, and from classified_as which is a broader classification (Image, rather than conforming to the standard for JPEG 2000)
Dimensions - Digital dimensions follow the same pattern as physical dimensions, but might use different types (file size) or the same (height, width for images) and different units (bytes, pixels).
Creation - Digital Objects are created by Creation events rather than Production events, but otherwise have the same activity model.",Digital Integration,,,https://linked.art/example/digital/1 
50,Digital Images,"Many of the entities that are described using Linked Art will have digital images that depict them. These images are useful for building compelling user interfaces for the data, and often take a prominent position in those interfaces.

One image might show many different entities, of different types. An image of an artist standing next to one of her paintings would show both the artist (a Person) and the painting (a HumanMadeObject). Further, the same image might be shown by many digital copies and derivatives, each available at a different URL. The same image might also be shown by a physical object, either by printing a digital file or that the digital image is a digitization of the physical object.

In order to accommodate these relationships, the model for digital objects echos the physical object / visual work distinction. In particular, digital images digitally_show a VisualItem. The different entities in the model can then have a Visual Item as a representation, meaning that the visual item depicts the entity in its content. As the image might have many different URLs from which it is available, it has an access_point property that lists those URLs.",Digital Integration,,,https://linked.art/example/person/15
51,Digital Surrogates,"Some digital representations are intended to be faithful reproductions of a physical object. Especially when digitizing two dimensional works, it is useful to distinguish between a digital image that depicts the object but perhaps along with other objects, people and the surroundings, compared to a digital image which shows only the same visual content as the physical object. The basic digital model and image model are the same as above, however we can be more explicit that the same visual item that the physical object shows is also digitally_shown_by the digital image.

These images are sometimes called ""Digital Surrogates"", as they can stand in for the physical object. A digital surrogate might show more than just the object, such as a color strip and a ruler, however the main focus of the visual item must clearly be the object itself. The line between surrogate and depiction is left to the policies and practices of the implementing organizations.",Digital Integration,Digital Images,,https://linked.art/example/object/30
52,Home Page,"Another very common scenario is that there is a web page about the object, perhaps managed by a collections management system. For humans, this page is much more useful than the data intended for machines. It can be referenced with the subject_of property, and points to a DigitalObject which is classified_as a web page, or aat:300264578. As with digital images, the home page can have a format of ""text/html"" and other properties.",Digital Integration,,,https://linked.art/example/object/31
53,Other Pages,"While the publishing organization might have a home page for their object as above, there are likely to be many other web pages about the object as well in different systems. These pages follow the same model of being a DigitalObject, but instead use the referred_to_by property for the link in the same manner as other texts.",Digital Integration,,,https://linked.art/example/object/32
54,IIIF Images,"The IIIF Image API is a DigitalService from which various derivatives of the image content can be requested. Similarly to the access_point property used in the previous sections, this service is referenced via the digitally_available_via property from the core DigitalObject that represents the digital image. The same image might have both access points and image services.

The IIIF Image service should have a conforms_to property that refers to ""http://iiif.io/api/image"" as the URI of an InformationObject, so that applications know what sort of service is being referred to.",Digital Integration,IIIF,,https://linked.art/example/object/33
55,IIIF Manifests,"The IIIF Presentation API is considered to be a DigitalObject that is about the object, in the same way as the home page of the object in a collection information system. The property used to refer to it from the object is, thus, subject_of. The conformsTo property should also be used with the Presentation API URI, and the Digital Object can also be given a format for JSON-LD.",Digital Integration,IIIF,,https://linked.art/example/object/34
56,Core Information,"All of the core information for resources is available for Place, including identifiers, classifications, labels, names, statements and so forth.

It is recommended that external gazeteer systems be used for recording the spatial hierarchy of Places, however it is still useful to be able to position historical locations within their larger geospatial context. This uses the same partitioning pattern as all other classes in the model.",Places,,,https://linked.art/example/place/2
57,Geospatial Location,"One of the expected user interface requirements for places is the ability to plot them on a map. In order to do this, or to calculate the geospatial overlap of places, it is useful to have a geometry that describes the place's boundaries in the real world. This could be very detailed, a simple bounding box within which the place fits, or a point close to the center of the area.

This is handled simply by associating a WKT string with the place using the defined_by property. A simple user interface for generating WKT representations is available from the Wicket Project.",Places,,,https://linked.art/example/place/3
58,Geospatial Approximation,"All recorded locations are approximate to some degree. It may be desirable to capture the exact location separately from a broader area that is known, especially when that approximation is very uncertain. If the place is the exact location of several events, and a name for the place is available but not exact geospatial coordinates or a full address, then this pattern is especially valuable. This is managed using the part_of construction -- the specific place is somewhere within the broader area.",Places,Geospatial Location,,https://linked.art/example/place/4
59,"Buildings and ""Immovable"" Objects","It is easy to confuse places with the constructions that exist at the place. While rare, there are situations when buildings are moved between locations. The building, just like a painting, is thus modeled as an object that has a current location in space. Activities take place in the place, rather than in the object. The granularity of the place compared to the building may be different due to underlying data management.

This applies to any other ""immovable"" object as well, such as large stellae through pyramids, ruins, or any other constructed object that might otherwise be ""permanently"" at a particular location.",Places,,,https://linked.art/example/object/75
